block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;flops_sca;flops_vec;flops_sp;flops_dp;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;
9927;omp-cloverleaf;calc_dt.cpp:55-79,calc_dt.cpp:92-92,context.h:46-46,context.h:69-69;6.3254580497742;1.6249964237213;;;;;;;;;;;;;;;;
12049;omp-cloverleaf;PdV.cpp:72-83;5.1382293701172;1.3199999332428;;;;;;;;;;;;;;;;
9141;omp-cloverleaf;context.h:46-46,context.h:69-69,advec_cell.cpp:163-163,advec_cell.cpp:174-202;5.0798363685608;1.3049989938736;;;;;;;;;;;;;;;;
8873;omp-cloverleaf;accelerate.cpp:43-53;4.2040061950684;1.0800000429153;;;;;;;;;;;;;;;;
18482;omp-cloverleaf;context.h:69-69,viscosity.cpp:39-49,viscosity.cpp:55-55,viscosity.cpp:62-74;3.6201162338257;0.9300000667572;;;;;;;;;;;;;;;;
12023;omp-cloverleaf;PdV.cpp:51-63;3.6201162338257;0.9300000667572;;;;;;;;;;;;;;;;
9108;omp-cloverleaf;stl_algobase.h:238-238,context.h:69-69,advec_cell.cpp:71-72,advec_cell.cpp:79-110;3.6201162338257;0.9300000667572;;;;;;;;;;;;;;;;
10613;omp-cloverleaf;ideal_gas.cpp:40-45;3.4254865646362;0.87999999523163;;;;;;;;;;;;;;;;
9567;omp-cloverleaf;advec_mom.cpp:197-202,context.h:69-69;3.0556898117065;0.78500008583069;;;;;;;;;;;;;;;;
10417;omp-cloverleaf;flux_calc.cpp:39-40;2.7248187065125;0.69999998807907;;;;;;;;;;;;;;;;
9507;omp-cloverleaf;advec_mom.cpp:221-221,context.h:69-69;2.7053558826447;0.69500005245209;;;;;;;;;;;;;;;;
9422;omp-cloverleaf;advec_mom.cpp:149-149,context.h:69-69;2.5496518611908;0.65500003099442;;;;;;;;;;;;;;;;
9082;omp-cloverleaf;advec_cell.cpp:211-216;2.2966330051422;0.5900000333786;;;;;;;;;;;;;;;;
9538;omp-cloverleaf;advec_mom.cpp:125-130,context.h:69-69;2.2771699428558;0.58500003814697;;;;;;;;;;;;;;;;
8988;omp-cloverleaf;advec_cell.cpp:120-125;2.121465921402;0.54499995708466;;;;;;;;;;;;;;;;
9450;omp-cloverleaf;advec_mom.cpp:170-172,context.h:69-69;2.0046880245209;0.51499998569489;;;;;;;;;;;;;;;;
9212;omp-cloverleaf;advec_mom.cpp:47-48;1.9268361330032;0.49500003457069;;;;;;;;;;;;;;;;
9358;omp-cloverleaf;advec_mom.cpp:98-100,context.h:69-69;1.8684471845627;0.48000001907349;;;;;;;;;;;;;;;;
9248;omp-cloverleaf;advec_mom.cpp:56-57;1.8684471845627;0.48000001907349;;;;;;;;;;;;;;;;
10359;omp-cloverleaf;context.h:69-69,field_summary.cpp:77-91;1.8489842414856;0.47500005364418;;;;;;;;;;;;;;;;
12132;omp-cloverleaf;reset_field.cpp:47-48;1.6154282093048;0.41499999165535;;;;;;;;;;;;;;;;
12171;omp-cloverleaf;reset_field.cpp:37-38;1.5959652662277;0.40999999642372;;;;;;;;;;;;;;;;
9316;omp-cloverleaf;advec_mom.cpp:74-75;1.5959652662277;0.40999999642372;;;;;;;;;;;;;;;;
9277;omp-cloverleaf;advec_mom.cpp:65-66;1.5181132555008;0.39000001549721;;;;;;;;;;;;;;;;
12232;omp-cloverleaf;revert.cpp:37-38;1.3818722963333;0.35499998927116;;;;;;;;;;;;;;;;
8926;omp-cloverleaf;advec_cell.cpp:47-48;1.0120755434036;0.25999999046326;;;;;;;;;;;;;;;;
9020;omp-cloverleaf;advec_cell.cpp:139-140;0.97314953804016;0.25000002980232;;;;;;;;;;;;;;;;
9054;omp-cloverleaf;advec_cell.cpp:149-150;0.77851963043213;0.20000000298023;;;;;;;;;;;;;;;;
8960;omp-cloverleaf;advec_cell.cpp:57-58;0.7590566277504;0.1950000077486;;;;;;;;;;;;;;;;
9384;omp-cloverleaf;advec_mom.cpp:88-88;0.72013068199158;0.18500001728535;;;;;;;;;;;;;;;;
9476;omp-cloverleaf;advec_mom.cpp:160-160;0.68120467662811;0.17499999701977;;;;;;;;;;;;;;;;
9564;omp-cloverleaf;advec_mom.cpp:186-186;0.40872278809547;0.10499999672174;;;;;;;;;;;;;;;;
9537;omp-cloverleaf;advec_mom.cpp:120-128;0.31140786409378;0.080000005662441;;;;;;;;;;;;;;;;
9568;omp-cloverleaf;advec_mom.cpp:211-211;0.31140786409378;0.080000005662441;;;;;;;;;;;;;;;;
9535;omp-cloverleaf;advec_mom.cpp:114-114;0.29194486141205;0.075000002980232;;;;;;;;;;;;;;;;
10470;omp-cloverleaf;generate_chunk.cpp:77-80;0.25301888585091;0.064999997615814;;;;;;;;;;;;;;;;
9539;omp-cloverleaf;advec_mom.cpp:139-139;0.23355589807034;0.060000002384186;;;;;;;;;;;;;;;;
