ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 246;omp-cloverleaf;advec_mom.cpp:97-100,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.5];Outermost;0.0099999997764826;0.0025174813345075;0.0099192513152957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 239;omp-cloverleaf;advec_mom.cpp:53-57,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.1];Outermost;0.0049999998882413;0.0025174813345075;0.0099192513152957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 237;omp-cloverleaf;advec_mom.cpp:44-48,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.0];Outermost;0.0049999998882413;0.0025174813345075;0.0099192513152957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 409;omp-cloverleaf;update_halo.cpp:195-196,context.h:69-69;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.14];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 377;omp-cloverleaf;update_halo.cpp:76-77,context.h:69-69;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.3];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 519;omp-cloverleaf;update_halo.cpp:633-636,context.h:69-69;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.55];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 514;omp-cloverleaf;update_halo.cpp:615-616;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.53];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 512;omp-cloverleaf;update_halo.cpp:605-606;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.52];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 509;omp-cloverleaf;update_halo.cpp:590-593,context.h:69-69;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.51];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 502;omp-cloverleaf;update_halo.cpp:562-563;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.48];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 482;omp-cloverleaf;update_halo.cpp:476-477;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.40];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 466;omp-cloverleaf;update_halo.cpp:408-411,context.h:69-69;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.34];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 464;omp-cloverleaf;update_halo.cpp:400-401;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.33];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 432;omp-cloverleaf;update_halo.cpp:281-282,context.h:69-69;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.22];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 420;omp-cloverleaf;update_halo.cpp:238-239,context.h:69-69;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.18];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 396;omp-cloverleaf;update_halo.cpp:152-153,context.h:69-69;update_halo_kernel(int, int, int, int, std::array<int, 4ul> const&, std::array<int, 4ul> const&, field_type&, int const*, int) [clone ._omp_fn.10];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 277;omp-cloverleaf;calc_dt.cpp:49-51,calc_dt.cpp:58-58,calc_dt.cpp:65-65,calc_dt.cpp:69-69,calc_dt.cpp:90-90,context.h:69-69;calc_dt_kernel(int, int, int, int, double, double, double, double, double, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, double&, int&, double&, double&, int&, int&, int&) [clone ._omp_fn.0];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 354;omp-cloverleaf;PdV.cpp:71-83,context.h:69-69;PdV_kernel(bool, int, int, int, int, double, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.1];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 311;omp-cloverleaf;initialise_chunk.cpp:77-77,initialise_chunk.cpp:80-82,context.h:46-46,context.h:69-69;initialise_chunk(int, global_variables&) [clone ._omp_fn.4];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 267;omp-cloverleaf;context.h:69-69,build_field.cpp:118-118,build_field.cpp:121-128;build_field(global_variables&) [clone ._omp_fn.1];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 258;omp-cloverleaf;advec_mom.cpp:110-110,advec_mom.cpp:114-114,advec_mom.cpp:132-134,context.h:46-46,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.6];InBetween;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 241;omp-cloverleaf;advec_mom.cpp:64-66,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.2];InBetween;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 222;omp-cloverleaf;context.h:69-69,advec_cell.cpp:119-125;advec_cell_kernel(int, int, int, int, int, int, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.3];Outermost;0.0049999998882413;0.0012587406672537;0.0049596256576478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
