Metric;Node;Process;Thread;#max_time_on_cpu_s;IO;Time (s);#start_time_us;Exe;System;Others;#start_time_s;TBB;Pthread;#max_context_switch_time_s;#stop_time_us;#total;#stop_time_s;#event_count;OMP;#elapsed_time;MPI;String;Memory;Math;
cycles;_ALL;_ALL;_ALL;0;0;25.379751205444;806761;76084977792;6129992320;0;5172;0;0;0;668362;100814065664;5214;20162.8131328;16994999616;41.861598968506;0;0;1605000000;0;
cycles;penda-Latitude-7480;_ALL;_ALL;0;0;25.379751205444;806761;76084977792;6129992320;0;5172;0;0;0;668362;100814065664;5214;20162.8131328;16994999616;41.861598968506;0;0;1605000000;0;
cycles;penda-Latitude-7480;54935;_ALL;0;0;25.379751205444;806761;76084977792;6129992320;0;5172;0;0;0;668362;100814065664;5214;20162.8131328;16994999616;41.861598968506;0;0;1605000000;0;
cycles;penda-Latitude-7480;54935;54946;1.4709167480469;0;25.379751205444;811556;18999993664;1394998784;0;5172;0;0;0.48897713422775;668177;25379751936;5214;5075.9503872;4564999488;41.856620788574;0;0;420000000;0;
cycles;penda-Latitude-7480;54935;54947;1.3578723669052;0;24.939807891846;812471;19059993792;1354998912;0;5172;0;0;0.50257676839828;668282;24939808768;5214;4987.9617536;4095000320;41.855812072754;0;0;430000000;0;
cycles;penda-Latitude-7480;54935;54935;0.69128197431564;0;25.359720230103;806761;18959995136;1944996608;0;5172;0;0;0.32311657071114;668362;25359720448;5214;5071.9440896;4090000384;41.861598968506;0;0;365000000;0;
cycles;penda-Latitude-7480;54935;54948;1.2462078332901;0;25.134784698486;812523;19064995200;1434998016;0;5172;0;0;0.48850348591805;668112;25134784512;5214;5026.9569024;4244999424;41.855587005615;0;0;390000000;0;
