group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VMOVUPD,;0,;0x6f05a,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f033,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f02e,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f028,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f039,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f1af,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f055,;Success;32;Success;32;32;0;32;32;1;
1;L;VSUBPD,;0,;0x6f11e,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x6f111,;Success;32;Success;32;32;0;32;32;1;
1;L;VSUBPD,;0,;0x6f0f8,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f046,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f040,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f0cd,;Success;32;Success;32;32;0;32;32;1;
8;LLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,;168,176,208,312,192,152,160,144,;0x6f069,0x6f071,0x6f0b2,0x6f0f0,0x6f0fd,0x6f109,0x6f116,0x6f1d0,;Success;0;Success;64;64;0;176;0;1;
1;L;VMOVSD,;0,;0x6f096,;Success;0;Success;8;8;0;8;0;1;
1;S;VMOVUPD,;0,;0x6f1c7,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDSD,;0,;0x6f105,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVUPD,;0,;0x6f0eb,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x6f0ad,;Success;32;Success;32;32;0;32;32;1;
