group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
8;LLLLLLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x4b70c,0x4b725,0x4b740,0x4b75b,0x4b77c,0x4b7a3,0x4b7ca,0x4b7f1,;Success;256;Success;256;256;0;256;256;8;
8;SSSSSSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x4b706,0x4b71e,0x4b739,0x4b754,0x4b772,0x4b799,0x4b7c0,0x4b7e7,;Success;256;Success;256;256;0;256;256;8;
8;LLLLLLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x4b700,0x4b717,0x4b732,0x4b74d,0x4b768,0x4b78f,0x4b7b6,0x4b7dd,;Success;256;Success;256;256;0;256;256;8;
8;SSSSSSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x4b712,0x4b72c,0x4b747,0x4b762,0x4b786,0x4b7ad,0x4b7d4,0x4b7fb,;Success;256;Success;256;256;0;256;256;8;
1;L;MOV,;64,;0x4b804,;Success;0;Success;8;8;0;8;0;1;
