group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VMOVSD,;0,;0x3c07d,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3c03c,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3bf9e,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3c174,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3bf59,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3bf1e,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3bedf,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3beaa,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3be6c,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3bcfa,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3bccc,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3ba62,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3ba38,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3b9ea,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3b911,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3b8ec,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3b8a3,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3b87a,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3c161,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3b801,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3b7d8,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3b732,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3ba5c,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3ba22,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3b9cd,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3b902,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3b8cd,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3b890,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3b864,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3b7e8,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3b7bd,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x3b708,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3c167,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVHPD,;0,;0x3c12e,;Not found;0;Success;8;8;0;8;0;1;
