group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VFMADD132PD,VFMADD132PD,;0,0,;0x2f83d,0x2f8b2,;Success;32;Success;64;32;32;32;32;2;
1;L;VFMADD132PD,;0,;0x2f8e7,;Success;32;Success;32;32;0;32;32;1;
2;LL;VMULPD,VMULPD,;0,0,;0x2f86f,0x2f8d8,;Success;32;Success;64;32;32;32;32;2;
2;LL;VSUBPD,VSUBPD,;0,0,;0x2f826,0x2f85a,;Success;32;Success;64;32;32;32;32;2;
1;L;VFMADD231PD,;0,;0x2f817,;Success;32;Success;32;32;0;32;32;1;
1;L;VMULPD,;0,;0x2f808,;Success;32;Success;32;32;0;32;32;1;
1;L;VFMADD213PD,;0,;0x2f88c,;Success;32;Success;32;32;0;32;32;1;
1;L;VFMADD132PD,;0,;0x2f87e,;Success;32;Success;32;32;0;32;32;1;
1;L;VFMADD213PD,;0,;0x2f843,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x2f7fa,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x2f7dd,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x2f7cf,;Success;32;Success;32;32;0;32;32;1;
1;L;VMULPD,;0,;0x2f7c1,;Success;32;Success;32;32;0;32;32;1;
2;LL;VMOVUPD,VMOVUPD,;0,0,;0x2f7a6,0x2f854,;Success;32;Success;64;32;32;32;32;2;
2;LL;VMOVUPD,VMOVUPD,;0,0,;0x2f89d,0x2f8c8,;Success;32;Success;64;32;32;32;32;2;
3;SLS;VMOVUPD,VFMADD213PD,VMOVUPD,;0,0,0,;0x2f892,0x2f8ee,0x2f8f4,;Success;32;Success;96;32;64;32;32;1;
1;L;VFMADD231PD,;0,;0x2f7eb,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x2f7ac,;Success;32;Success;32;32;0;32;32;1;
2;LL;VSUBPD,VMOVUPD,;0,0,;0x2f7bb,0x2f84e,;Success;32;Success;64;32;32;32;32;1;
2;LL;VMOVUPD,VSUBPD,;0,0,;0x2f897,0x2f8d2,;Success;32;Success;64;32;32;32;32;1;
2;LL;VMOVUPD,VSUBPD,;0,0,;0x2f7a0,0x2f869,;Success;32;Success;64;32;32;32;32;1;
2;LL;VMULPD,VMULPD,;0,0,;0x2f832,0x2f8ac,;Success;32;Success;64;32;32;32;32;2;
15;LLLLLLLLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,;192,184,168,176,224,208,216,232,200,240,256,440,248,440,264,;0x2f790,0x2f798,0x2f7b3,0x2f7c7,0x2f7d5,0x2f7e3,0x2f7f2,0x2f800,0x2f80f,0x2f81e,0x2f861,0x2f876,0x2f884,0x2f8df,0x2f8fd,;Success;0;Success;120;112;8;280;0;1;
3;SLS;VMOVUPD,VFMADD213PD,VMOVUPD,;0,0,0,;0x2f849,0x2f8b8,0x2f8be,;Success;32;Success;96;32;64;32;32;1;
2;LL;VSUBPD,VSUBPD,;0,0,;0x2f8a2,0x2f8cd,;Success;32;Success;64;32;32;32;32;2;
2;LL;VSUBPD,VMOVUPD,;0,0,;0x2f8a7,0x2f8c3,;Success;32;Success;64;32;32;32;32;1;
