group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VMOVUPD,;0,;0x4a3dc,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a3c8,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a3b5,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a3a8,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a424,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a3d5,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a3ee,;Success;32;Success;32;32;0;32;32;1;
2;LL;VDIVPD,VMULPD,;0,0,;0x4a4a6,0x4a4d3,;Success;32;Success;64;32;32;32;32;1;
1;S;VMOVUPD,;0,;0x4a4d8,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a47c,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a3e1,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a3c2,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a43d,;Success;32;Success;32;32;0;32;32;1;
1;L;VFMADD231PD,;0,;0x4a42a,;Success;32;Success;32;32;0;32;32;1;
1;S;VMOVUPD,;0,;0x4a4c6,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a455,;Success;32;Success;32;32;0;32;32;1;
1;L;VFNMADD213PD,;0,;0x4a4b8,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a48f,;Success;32;Success;32;32;0;32;32;1;
1;L;VFMADD132PD,;0,;0x4a472,;Success;32;Success;32;32;0;32;32;1;
1;L;VMULPD,;0,;0x4a465,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a442,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a430,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a417,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4a40a,;Success;32;Success;32;32;0;32;32;1;
1;L;VMULPD,;0,;0x4a3fd,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a447,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4a4a0,;Success;32;Success;32;32;0;32;32;1;
16;LLLLLLLLLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,;240,248,288,296,280,264,272,312,320,304,256,328,336,344,232,352,;0x4a3a0,0x4a3ad,0x4a3ba,0x4a3cd,0x4a3e6,0x4a402,0x4a40f,0x4a41c,0x4a435,0x4a44d,0x4a46a,0x4a482,0x4a494,0x4a4be,0x4a4cb,0x4a4e1,;Success;0;Success;128;128;0;128;0;1;
