group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LLLL;VSUBPD,VSUBPD,VSUBPD,VSUBPD,;0,32,64,96,;0x35127,0x35158,0x3518c,0x351bf,;Success;128;Success;128;128;0;128;128;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x3511d,0x3514c,0x35180,0x351b3,;Success;128;Success;128;128;0;128;128;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x35122,0x35152,0x35186,0x351b9,;Success;128;Success;128;128;0;128;128;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x35131,0x35164,0x35197,0x351ca,;Success;128;Success;128;128;0;128;128;4;
4;LLLL;VSUBPD,VSUBPD,VSUBPD,VSUBPD,;0,32,64,96,;0x35117,0x35145,0x35179,0x351ac,;Success;128;Success;128;128;0;128;128;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x3510b,0x35137,0x3516b,0x3519e,;Success;128;Success;128;128;0;128;128;4;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,32,64,96,;0x35111,0x3513e,0x35172,0x351a5,;Success;128;Success;128;128;0;128;128;4;
1;L;CMP,;96,;0x351d5,;Success;0;Success;8;8;0;8;0;1;
