group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VMOVSD,;0,;0x33c23,;Not found;0;Success;8;8;0;8;0;1;
2;LL;VMOVSD,VMOVSD,;0,0,;0x3387a,0x33c0b,;Not found;0;Success;16;8;8;8;0;2;
1;L;VMOVSD,;0,;0x33c98,;Not found;0;Success;8;8;0;8;0;1;
2;SS;VMOVUPD,VMOVUPD,;32,0,;0x33bc4,0x33bd4,;Success;64;Success;64;64;0;64;64;2;
2;SS;VMOVUPD,VMOVUPD,;0,32,;0x34069,0x3406e,;Success;64;Success;64;64;0;64;64;2;
2;LL;VMOVSD,VMOVSD,;0,0,;0x3381d,0x33bda,;Not found;0;Success;16;8;8;8;0;2;
1;L;VMOVSD,;0,;0x33c28,;Not found;0;Success;8;8;0;8;0;1;
2;LL;VMOVUPD,VMOVUPD,;0,32,;0x33488,0x3348e,;Success;64;Success;64;64;0;64;64;2;
2;LL;VMOVSD,VMOVSD,;0,0,;0x33884,0x33bf3,;Not found;0;Success;16;8;8;8;0;2;
1;L;VMOVSD,;0,;0x336a4,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x33c6c,;Not found;0;Success;8;8;0;8;0;1;
24;LLLLLLLLLLLLLLLLLLLLLLLL;VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVSD,VMOVSD,VMOVHPD,VMOVHPD,VMOVSD,VMOVSD,VMOVHPD,VMOVHPD,VMOVSD,VMOVSD,VMOVHPD,VMOVHPD,VMOVSD,VMOVSD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;0x33838,0x33859,0x33888,0x33894,0x3391b,0x33925,0x33930,0x33947,0x3395e,0x33964,0x3396e,0x33974,0x33a1a,0x33a25,0x33a30,0x33a36,0x33a53,0x33a5f,0x33a6a,0x33a79,0x33bff,0x33c05,0x33c17,0x33c34,;Indirect;0;Success;192;8;184;8;0;2;
1;L;VBROADCASTSD,;0,;0x336b4,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x33648,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x33671,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x335cb,;Not found;0;Success;8;8;0;8;0;1;
2;LL;VMOVSD,VMOVSD,;0,0,;0x33834,0x33bdf,;Not found;0;Success;16;8;8;8;0;2;
31;LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL;VANDPD,VANDPD,VADDPD,VADDPD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBLENDVPD,VBROADCASTSD,VANDPD,VANDPD,VBLENDVPD,VANDPD,VANDPD,VBROADCASTSD,VMULPD,VBROADCASTSD,VMULPD,VBROADCASTSD,VANDPD,VANDPD,VBLENDVPD,VBLENDVPD,VANDPD,VANDPD,VMULPD,VMULPD,VANDPD,VANDPD,VBROADCASTSD,VBROADCASTSD,;249112,249020,248960,248913,255858,255845,248071,248071,248030,247971,247963,248017,247923,247915,247906,247948,247853,247900,246902,246812,246798,246852,246842,246765,246744,246793,246767,246663,246646,246665,246641,;0x33640,0x3369c,0x336f8,0x33727,0x3374d,0x3375a,0x33a70,0x33a8f,0x33a99,0x33ab5,0x33abd,0x33ac5,0x33ae5,0x33aed,0x33b15,0x33b2c,0x33b4a,0x33b5c,0x33f01,0x33f3c,0x33f4a,0x33f52,0x33f5c,0x33f6b,0x33f80,0x33faf,0x33fc9,0x33fd1,0x33fe2,0x33fee,0x34006,;RIP based value;0;Success;776;521;255;9225;0;1;
