group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VMOVUPD,;0,;0x49729,;Success;32;Success;32;32;0;32;32;1;
1;S;VMOVUPD,;0,;0x497dc,;Success;32;Success;32;32;0;32;32;1;
1;S;VMOVUPD,;0,;0x497ca,;Success;32;Success;32;32;0;32;32;1;
1;L;VFNMADD213PD,;0,;0x497bc,;Success;32;Success;32;32;0;32;32;1;
2;LL;VDIVPD,VMULPD,;0,0,;0x49791,0x497d7,;Success;32;Success;64;32;32;32;32;1;
1;L;VMOVUPD,;0,;0x49700,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x49782,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x49770,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x49747,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x49734,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x49712,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x49705,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x49752,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x49741,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x4974c,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4979f,;Success;32;Success;32;32;0;32;32;1;
1;L;VMOVUPD,;0,;0x4970b,;Success;32;Success;32;32;0;32;32;1;
1;L;VADDPD,;0,;0x49765,;Success;32;Success;32;32;0;32;32;1;
8;LLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,;184,176,192,200,208,216,168,224,;0x496f8,0x49717,0x49739,0x49758,0x49775,0x497c2,0x497cf,0x497e5,;Success;0;Success;64;64;0;64;0;1;
1;L;VADDPD,;0,;0x49724,;Success;32;Success;32;32;0;32;32;1;
