group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
8;LLLLLLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x42c26,0x42c44,0x42c64,0x42c84,0x42caa,0x42cd6,0x42d02,0x42d33,;Success;256;Success;256;256;0;256;256;8;
8;SSSSSSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x42c15,0x42c31,0x42c51,0x42c71,0x42c91,0x42cbd,0x42ce9,0x42d1a,;Success;256;Success;256;256;0;256;256;8;
8;SSSSSSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x42c20,0x42c3d,0x42c5d,0x42c7d,0x42ca0,0x42ccc,0x42cf8,0x42d29,;Success;256;Success;256;256;0;256;256;8;
8;SSSSSSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x42c2c,0x42c4b,0x42c6b,0x42c8b,0x42cb4,0x42ce0,0x42d11,0x42d3d,;Success;256;Success;256;256;0;256;256;8;
1;L;MOV,;24,;0x42d0c,;Success;0;Success;8;8;0;8;0;1;
8;LLLLLLLL;VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,;0,0,0,0,0,0,0,0,;0x42c1b,0x42c38,0x42c58,0x42c78,0x42c9b,0x42cc7,0x42cf3,0x42d24,;Success;0;Success;64;8;56;8;0;8;
