group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
8;SSSSSSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x3568c,0x356ad,0x356cf,0x356f1,0x3571f,0x35750,0x35786,0x357b7,;Success;256;Success;256;256;0;256;256;8;
8;LLLLLLLL;VSUBPD,VSUBPD,VSUBPD,VSUBPD,VSUBPD,VSUBPD,VSUBPD,VSUBPD,;0,32,64,96,128,160,192,224,;0x35686,0x356a6,0x356c8,0x356ea,0x35715,0x35746,0x3577c,0x357ad,;Success;256;Success;256;256;0;256;256;8;
8;LLLLLLLL;VADDPD,VADDPD,VADDPD,VADDPD,VADDPD,VADDPD,VADDPD,VADDPD,;0,32,64,96,128,160,192,224,;0x35680,0x3569f,0x356c1,0x356e3,0x3570b,0x3573c,0x3576d,0x357a3,;Success;256;Success;256;256;0;256;256;8;
8;LLLLLLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x35675,0x35692,0x356b4,0x356d6,0x356f8,0x35729,0x3575a,0x35790,;Success;256;Success;256;256;0;256;256;8;
1;L;MOV,;48,;0x35777,;Success;0;Success;8;8;0;8;0;1;
8;SSSSSSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,;0x3567b,0x35699,0x356bb,0x356dd,0x35702,0x35733,0x35764,0x3579a,;Success;256;Success;256;256;0;256;256;8;
