group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x3f738,0x3f765,0x3f795,0x3f7c5,;Success;128;Success;128;128;0;128;128;4;
4;LLLL;VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,;0,0,0,0,;0x3f733,0x3f760,0x3f790,0x3f7c0,;Success;0;Success;32;8;24;8;0;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x3f743,0x3f771,0x3f7a1,0x3f7d1,;Success;128;Success;128;128;0;128;128;4;
4;LLLL;VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,;0,0,0,0,;0x3f73e,0x3f76c,0x3f79c,0x3f7cc,;Success;0;Success;32;8;24;8;0;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x3f75a,0x3f789,0x3f7b9,0x3f7e9,;Success;128;Success;128;128;0;128;128;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x3f74e,0x3f77d,0x3f7ad,0x3f7dd,;Success;128;Success;128;128;0;128;128;4;
1;L;MOV,;64,;0x3f7f0,;Success;0;Success;8;8;0;8;0;1;
4;LLLL;VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,;0,0,0,0,;0x3f749,0x3f778,0x3f7a8,0x3f7d8,;Success;0;Success;32;8;24;8;0;4;
4;LLLL;VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,VBROADCASTSD,;0,0,0,0,;0x3f755,0x3f784,0x3f7b4,0x3f7e4,;Success;0;Success;32;8;24;8;0;4;
