group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,32,64,96,;0x31440,0x31480,0x314c5,0x3150a,;Success;128;Success;128;128;0;128;128;4;
4;LLLL;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x31429,0x31467,0x314ac,0x314f0,;Success;128;Success;128;128;0;128;128;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x3145c,0x314a0,0x314e4,0x3152a,;Success;128;Success;128;128;0;128;128;4;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,;0x31447,0x31487,0x314cc,0x31511,;Success;128;Success;128;128;0;128;128;4;
8;LLLLLLLL;VMOVUPD,VSUBPD,VMOVUPD,VSUBPD,VMOVUPD,VSUBPD,VMOVUPD,VSUBPD,;0,0,32,32,64,64,96,96,;0x31424,0x31453,0x31461,0x31495,0x314a6,0x314da,0x314ea,0x3151f,;Success;128;Success;256;128;128;128;128;1;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,32,64,96,;0x3142f,0x3146e,0x314b3,0x314f7,;Success;128;Success;128;128;0;128;128;4;
8;LLLLLLLL;VADDPD,VMOVUPD,VADDPD,VMOVUPD,VADDPD,VMOVUPD,VADDPD,VMOVUPD,;0,0,32,32,64,64,96,96,;0x31435,0x3144d,0x31475,0x3148e,0x314ba,0x314d3,0x314fe,0x31518,;Success;128;Success;256;128;128;128;128;1;
