group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LSLS;VMULPD,VMOVUPD,VMULPD,VMOVUPD,;0,0,32,32,;0x31e45,0x31e79,0x31e91,0x31ecc,;Success;64;Success;128;64;64;64;64;1;
2;LL;VADDPD,VADDPD,;0,32,;0x31e51,0x31e9f,;Success;64;Success;64;64;0;64;64;2;
2;LL;VSUBPD,VSUBPD,;0,32,;0x31e4b,0x31e98,;Success;64;Success;64;64;0;64;64;2;
2;LL;VADDPD,VADDPD,;0,32,;0x31e6a,0x31ebb,;Success;64;Success;64;64;0;64;64;2;
2;LL;VSUBPD,VSUBPD,;0,32,;0x31e5d,0x31ead,;Success;64;Success;64;64;0;64;64;2;
2;LL;VMOVUPD,VMOVUPD,;0,32,;0x31e3a,0x31e84,;Success;64;Success;64;64;0;64;64;2;
4;LSLS;VFMADD132PD,VMOVUPD,VFMADD132PD,VMOVUPD,;0,0,32,32,;0x31e64,0x31e7f,0x31eb4,0x31ed3,;Success;64;Success;128;64;64;64;64;1;
2;LL;VSUBPD,VSUBPD,;0,32,;0x31e57,0x31ea6,;Success;64;Success;64;64;0;64;64;2;
1;L;CMP,;80,;0x31edd,;Success;0;Success;8;8;0;8;0;1;
2;LL;VMOVUPD,VMOVUPD,;0,32,;0x31e40,0x31e8b,;Success;64;Success;64;64;0;64;64;2;
