group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LSLS;VMULPD,VMOVUPD,VMULPD,VMOVUPD,;0,0,32,32,;0x30e64,0x30e96,0x30eae,0x30ee8,;Success;64;Success;128;64;64;64;64;1;
2;LL;VSUBPD,VSUBPD,;0,32,;0x30e7b,0x30ec9,;Success;64;Success;64;64;0;64;64;2;
2;LL;VSUBPD,VSUBPD,;0,32,;0x30e6a,0x30eb5,;Success;64;Success;64;64;0;64;64;2;
2;LL;VMOVUPD,VMOVUPD,;0,32,;0x30e59,0x30ea1,;Success;64;Success;64;64;0;64;64;2;
2;LL;VMOVUPD,VMOVUPD,;0,32,;0x30e5f,0x30ea8,;Success;64;Success;64;64;0;64;64;2;
4;LSLS;VFMADD132PD,VMOVUPD,VFMADD132PD,VMOVUPD,;0,0,32,32,;0x30e81,0x30e9c,0x30ed0,0x30eef,;Success;64;Success;128;64;64;64;64;1;
2;LL;VADDPD,VADDPD,;0,32,;0x30e87,0x30ed7,;Success;64;Success;64;64;0;64;64;2;
2;LL;VSUBPD,VSUBPD,;0,32,;0x30e75,0x30ec2,;Success;64;Success;64;64;0;64;64;2;
1;L;CMP,;120,;0x30ef9,;Success;0;Success;8;8;0;8;0;1;
2;LL;VADDPD,VADDPD,;0,32,;0x30e70,0x30ebc,;Success;64;Success;64;64;0;64;64;2;
